Search Keyword,Title,Abstract/Summary/Description,Organism,Sample Size,Cohort,GEO ID,ENA/SRA ID,Library Strategy,Library Source,Database,,Tissue ,source_name,tissue,cell_line,cell_type,,Schizophrenia,Bipolar disorder,Anxiety,Depression,Major Depressive Disorder,Bipolar Depression,Bipolar Mania,Comments,RNA-seq,Treatment,Notes (Treatment)
Schizophrenia,mRNA Sequencing of STG in schizophrenia,mRNA Sequencing of STG in schizophrenia,Homo sapiens,18,key:value_key:value,,ERP001304,RNA-Seq,TRANSCRIPTOMIC,ENA,,Yes,,,,,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,clozapine and schizophrenia patient-derived neurons,"The cellular pathology of schizophrenia and the potential of antipsychotics to target the underlying neuronal dysfunctions are still largely unknown. We employed glutamatergic neurons derived from induced pluripotent stem cells obtained from schizophrenia patients with a known history of response to clozapine and healthy controls to decipher the mechanisms of action of clozapine, spanning from molecular (transcriptome profiling) and cellular levels (electrophysiology) to observed clinical effects in living patients.",Homo sapiens,11,,,ERP134591,RNA-Seq,TRANSCRIPTOMIC,SRA,,Yes,,,,,,Yes,No,No,No,No,No,No,,RNA-seq,Yes,clozapine
Major Depressive Disorder,Whole transcriptome analysis of postmortem human hippocampus dentate gyrus granlule cells,"(Submitter supplied) We investigated the transcriptome of dentate gyrus (DG) granule cells in postmortem hippocampus from 79 subjects with mental illness (schizophrenia, bipolar disorder, major depression) or non-psychiatric controls.",Homo sapiens,46,,GSE42546,SRP017329,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,postmortem hippocampus DG granule cells,,,,,No,No,No,No,Yes,No,No,17 MDD/D + 29 control,RNA-seq,No,
Depression,Whole transcriptome analysis of postmortem human hippocampus dentate gyrus granlule cells,"(Submitter supplied) We investigated the transcriptome of dentate gyrus (DG) granule cells in postmortem hippocampus from 79 subjects with mental illness (schizophrenia, bipolar disorder, major depression) or non-psychiatric controls.",Homo sapiens,46,,GSE42546,SRP017329,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,postmortem hippocampus DG granule cells,,,,,No,No,No,Yes,No,No,No,17 MDD/D + 29 control,RNA-seq,No,
Schizophrenia,Whole transcriptome analysis of postmortem human hippocampus dentate gyrus granlule cells,"(Submitter supplied) We investigated the transcriptome of dentate gyrus (DG) granule cells in postmortem hippocampus from 79 subjects with mental illness (schizophrenia, bipolar disorder, major depression) or non-psychiatric controls.",Homo sapiens,45,,GSE42546,SRP017329,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,postmortem hippocampus DG granule cells,,,,,Yes,No,No,No,No,No,No,16 S +29 control,RNA-seq,No,
Bipolar Disorder,Whole transcriptome analysis of postmortem human hippocampus dentate gyrus granlule cells,"(Submitter supplied) We investigated the transcriptome of dentate gyrus (DG) granule cells in postmortem hippocampus from 79 subjects with mental illness (schizophrenia, bipolar disorder, major depression) or non-psychiatric controls.",Homo sapiens,45,,GSE42546,SRP017329,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,postmortem hippocampus DG granule cells,,,,,No,Yes,No,No,No,No,No,16 BD +29 control,RNA-seq,No,
Schizophrenia,RNA-seq in neurons derived from iPSCs in controls and patients with schizophrenia and 22q11 del,"(Submitter supplied) Individuals with 22q11.2 Deletion Syndrome (22q11.2 DS) are a specific high-risk group for developing schizophrenia (SZ), schizoaffective disorder (SAD) and autism spectrum disorders (ASD). Several genes in the deleted region have been implicated in the development of SZ, e.g., PRODH and DGCR8. However, the mechanistic connection between these genes and the neuropsychiatric phenotype remains unclear. more...",Homo sapiens,19,,GSE46562,SRP022028,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,control neurons|neuron cell line|schizohrenia neurons,14 day neurons|iPSC-derived neuron,,,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Bipolar Disorder,"RNA-sequencing of the brain transcriptome implicates dysregulation of neuroplasticity, circadian rhythms, and GTPase binding in bipolar disorder","(Submitter supplied) See ""Akula et al., Molecular Psychiatry in Press"". RNA-sequencing (RNA-seq) is a powerful technique to investigate the complexity of gene expression in the human brain. We used RNA-seq to survey the brain transcriptome in high-quality post-mortem dorsolateral prefrontal cortex from 11 individuals diagnosed with bipolar disorder (BD) and from 11 age- and gender-matched controls. Deep sequencing was performed, with over 350 million reads per specimen. more...",Homo sapiens,22,,GSE53239,SRP033725,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,postmortem brain,dorsolateral prefrontal cortex,,,,No,Yes,No,No,No,No,No,,RNA-seq,No,
Bipolar Disorder,"Homo sapiens, brain disease Epigenomics",The DNA methylome and transcriptome of different brain regions in schizophrenia and bipolar disorder,Homo sapiens,36,,,SRP035524,RNA-Seq,TRANSCRIPTOMIC,SRA,,Yes,,,,,,Yes,Yes,No,No,No,No,No,,RNA-seq,No,
Bipolar Disorder,Hyper-excitability of Neurons generated from Patients with Bipolar Disorder,"(Submitter supplied) Bipolar Disorder (BD) is a complex neuropsychiatric disorder that is characterized by intermittent episodes of mania and depression and, without treatment, 15% of patients commit suicide1. Hence, among all diseases, BD has been ranked by the WHO as a top disorder of morbidity and lost productivity2. Previous neuropathological studies have revealed a series of alterations in the brains of BD patients or animal models3, such as reduced glial cell number in the patient prefrontal cortex4, up-regulated activities of the PKA/PKC pathways5-7, and changes in dopamine/5-HT/glutamate neurotransmission systems8-11. more...",Homo sapiens,18,,GSE58933,SRP043684,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,iPSC-derived hippocampal dentate gyrus granule neurons|iPSC-derived neurons,,,Hippocampal dentate gyrus (DG) granule neurons|iPSC-derived neurons,,No,Yes,No,No,No,No,No,Hyper-excitability of Neurons generated from Patients with Bipolar Disorder,RNA-seq,Yes,Lithium 
